"CategoryName","ProductName","QuantityPerUnit","UnitsInStock","Discontinued"
"Beverages","Chai","10 boxes x 20 bags","39","0"
"Beverages","Chang","24 - 12 oz bottles","17","0"
"Condiments","Aniseed Syrup","12 - 550 ml bottles","13","0"
"Condiments","Chef Anton's Cajun Seasoning","48 - 6 oz jars","53","0"
"Condiments","Grandma's Boysenberry Spread","12 - 8 oz jars","120","0"
"Produce","Uncle Bob's Organic Dried Pears","12 - 1 lb pkgs.","15","0"
"Condiments","Northwoods Cranberry Sauce","12 - 12 oz jars","6","0"
"Seafood","Ikura","12 - 200 ml jars","31","0"
"Dairy Products","Queso Cabrales","1 kg pkg.","22","0"
"Dairy Products","Queso Manchego La Pastora","10 - 500 g pkgs.","86","0"
"Seafood","Konbu","2 kg box","24","0"
"Produce","Tofu","40 - 100 g pkgs.","35","0"
"Condiments","Genen Shouyu","24 - 250 ml bottles","39","0"
"Confections","Pavlova","32 - 500 g boxes","29","0"
"Seafood","Carnarvon Tigers","16 kg pkg.","42","0"
"Confections","Teatime Chocolate Biscuits","10 boxes x 12 pieces","25","0"
"Confections","Sir Rodney's Marmalade","30 gift boxes","40","0"
"Confections","Sir Rodney's Scones","24 pkgs. x 4 pieces","3","0"
"Grains/Cereals","Gustaf's Knäckebröd","24 - 500 g pkgs.","104","0"
"Grains/Cereals","Tunnbröd","12 - 250 g pkgs.","61","0"
"Confections","NuNuCa Nuß-Nougat-Creme","20 - 450 g glasses","76","0"
"Confections","Gumbär Gummibärchen","100 - 250 g bags","15","0"
"Confections","Schoggi Schokolade","100 - 100 g pieces","49","0"
"Seafood","Nord-Ost Matjeshering","10 - 200 g glasses","10","0"
"Dairy Products","Gorgonzola Telino","12 - 100 g pkgs","0","0"
"Dairy Products","Mascarpone Fabioli","24 - 200 g pkgs.","9","0"
"Dairy Products","Geitost","500 g","112","0"
"Beverages","Sasquatch Ale","24 - 12 oz bottles","111","0"
"Beverages","Steeleye Stout","24 - 12 oz bottles","20","0"
"Seafood","Inlagd Sill","24 - 250 g  jars","112","0"
"Seafood","Gravad lax","12 - 500 g pkgs.","11","0"
"Beverages","Côte de Blaye","12 - 75 cl bottles","17","0"
"Beverages","Chartreuse verte","750 cc per bottle","69","0"
"Seafood","Boston Crab Meat","24 - 4 oz tins","123","0"
"Seafood","Jack's New England Clam Chowder","12 - 12 oz cans","85","0"
"Beverages","Ipoh Coffee","16 - 500 g tins","17","0"
"Condiments","Gula Malacca","20 - 2 kg bags","27","0"
"Seafood","Rogede sild","1k pkg.","5","0"
"Seafood","Spegesild","4 - 450 g glasses","95","0"
"Confections","Zaanse koeken","10 - 4 oz boxes","36","0"
"Confections","Chocolade","10 pkgs.","15","0"
"Confections","Maxilaku","24 - 50 g pkgs.","10","0"
"Confections","Valkoinen suklaa","12 - 100 g bars","65","0"
"Produce","Manjimup Dried Apples","50 - 300 g pkgs.","20","0"
"Grains/Cereals","Filo Mix","16 - 2 kg boxes","38","0"
"Meat/Poultry","Tourtière","16 pies","21","0"
"Meat/Poultry","Pâté chinois","24 boxes x 2 pies","115","0"
"Grains/Cereals","Gnocchi di nonna Alice","24 - 250 g pkgs.","21","0"
"Grains/Cereals","Ravioli Angelo","24 - 250 g pkgs.","36","0"
"Seafood","Escargots de Bourgogne","24 pieces","62","0"
"Dairy Products","Raclette Courdavault","5 kg pkg.","79","0"
"Dairy Products","Camembert Pierrot","15 - 300 g rounds","19","0"
"Condiments","Sirop d'érable","24 - 500 ml bottles","113","0"
"Confections","Tarte au sucre","48 pies","17","0"
"Condiments","Vegie-spread","15 - 625 g jars","24","0"
"Grains/Cereals","Wimmers gute Semmelknödel","20 bags x 4 pieces","22","0"
"Condiments","Louisiana Fiery Hot Pepper Sauce","32 - 8 oz bottles","76","0"
"Condiments","Louisiana Hot Spiced Okra","24 - 8 oz jars","4","0"
"Beverages","Laughing Lumberjack Lager","24 - 12 oz bottles","52","0"
"Confections","Scottish Longbreads","10 boxes x 8 pieces","6","0"
"Dairy Products","Gudbrandsdalsost","10 kg pkg.","26","0"
"Beverages","Outback Lager","24 - 355 ml bottles","15","0"
"Dairy Products","Flotemysost","10 - 500 g pkgs.","26","0"
"Dairy Products","Mozzarella di Giovanni","24 - 200 g pkgs.","14","0"
"Seafood","Röd Kaviar","24 - 150 g jars","101","0"
"Produce","Longlife Tofu","5 kg pkg.","4","0"
"Beverages","Rhönbräu Klosterbier","24 - 0.5 l bottles","125","0"
"Beverages","Lakkalikööri","500 ml","57","0"
"Condiments","Original Frankfurter grüne Soße","12 boxes","32","0"
